+------------------+-----------------------------------------+---------+----------+----------+-------------------------------------------+--------------------------------+
| *** WARNING ***                                                                                                                                                         |
| The block and item IDs are dynamic and will be different on each world!                                                                                                 |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                               |
| *** ALSO ***                                                                                                                                                            |
| The server doesn't have a list of sub block and sub items                                                                                                               |
| (= items with different damage value or blocks with different metadata).                                                                                                |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                               |
+------------------+-----------------------------------------+---------+----------+----------+-------------------------------------------+--------------------------------+
| Mod name         | Registry name                           | Item ID | Meta/dmg | Subtypes | Display name                              | Ore Dict keys                  |
+------------------+-----------------------------------------+---------+----------+----------+-------------------------------------------+--------------------------------+
| Advancement Book | advancementbook:advancement_book        |    4096 |        0 |    false | Advancement Book                          |                                |
| Advancement Book | advancementbook:advancement_bookstand   |    4097 |        0 |    false | Advancement Book Stand                    |                                |
| Baubles          | baubles:ring                            |    4099 |        0 |     true | Miner's Ring                              |                                |
| Botania          | botania:alchemycatalyst                 |    4267 |        0 |    false | Alchemy Catalyst                          |                                |
| Botania          | botania:alfheimportal                   |    4274 |        0 |    false | Elven Gateway Core                        |                                |
| Botania          | botania:altar                           |    4252 |        0 |     true | Petal Apothecary                          |                                |
| Botania          | botania:altar                           |    4252 |        1 |     true | Forest Petal Apothecary                   |                                |
| Botania          | botania:altar                           |    4252 |        2 |     true | Plains Petal Apothecary                   |                                |
| Botania          | botania:altar                           |    4252 |        3 |     true | Mountain Petal Apothecary                 |                                |
| Botania          | botania:altar                           |    4252 |        4 |     true | Fungal Petal Apothecary                   |                                |
| Botania          | botania:altar                           |    4252 |        5 |     true | Swamp Petal Apothecary                    |                                |
| Botania          | botania:altar                           |    4252 |        6 |     true | Desert Petal Apothecary                   |                                |
| Botania          | botania:altar                           |    4252 |        7 |     true | Taiga Petal Apothecary                    |                                |
| Botania          | botania:altar                           |    4252 |        8 |     true | Mesa Petal Apothecary                     |                                |
| Botania          | botania:altgrass                        |    4327 |        0 |     true | Dry Grass                                 |                                |
| Botania          | botania:altgrass                        |    4327 |        1 |     true | Golden Grass                              |                                |
| Botania          | botania:altgrass                        |    4327 |        2 |     true | Vivid Grass                               |                                |
| Botania          | botania:altgrass                        |    4327 |        3 |     true | Scorched Grass                            |                                |
| Botania          | botania:altgrass                        |    4327 |        4 |     true | Infused Grass                             |                                |
| Botania          | botania:altgrass                        |    4327 |        5 |     true | Mutated Grass                             |                                |
| Botania          | botania:ancientwill                     |    4203 |        0 |     true | Will of Ahrim                             |                                |
| Botania          | botania:ancientwill                     |    4203 |        1 |     true | Will of Dharok                            |                                |
| Botania          | botania:ancientwill                     |    4203 |        2 |     true | Will of Guthan                            |                                |
| Botania          | botania:ancientwill                     |    4203 |        3 |     true | Will of Torag                             |                                |
| Botania          | botania:ancientwill                     |    4203 |        4 |     true | Will of Verac                             |                                |
| Botania          | botania:ancientwill                     |    4203 |        5 |     true | Will of Karil                             |                                |
| Botania          | botania:animatedtorch                   |    4328 |        0 |    false | Animated Torch                            |                                |
| Botania          | botania:astrolabe                       |    4249 |        0 |    false | Worldshaper's Astrolabe                   |                                |
